Site,Year,Month,Day,Julday,season,Precip,Wsmean,Tmean,Rhumean,Rhumin,Sunhour,Tmin,Tmax,Rs,Ra,ET0
54539,1993,1,2,2,4,0.0,2.3,-2.6,90,73,3.6,-5.4,1.2,4.46,14.240457028428416,0.47207933707135186
54539,1993,1,3,3,4,0.0,1.8,-3.2,49,8,8.4,-5.5,0.7,9.33,14.300408436913473,0.9353004739667663
54539,1993,1,4,4,4,0.0,2.3,-4.8,46,13,7.9,-10.6,2.8,8.75,14.364807016573259,1.187588081772053
54539,1993,1,5,5,4,0.0,1.5,-3.2,50,26,6.5,-9.4,3.3,7.63,14.433638832209684,0.8955818035723212
54539,1993,1,6,6,4,0.0,1.5,-1.5,76,55,4.9,-4.4,2.6,5.69,14.506888711212543,0.6380345504179317
54539,1993,1,7,7,4,0.0,3.0,-2.9,75,49,5.4,-5.7,-0.5,6.01,14.584540212303727,0.6599830258797372
54539,1993,1,8,8,4,0.2,2.0,-4.0,69,47,2.4,-6.0,-1.4,4.45,14.666575593429275,0.6805001542995199
54539,1993,1,9,9,4,1.0,1.8,-4.9,81,56,0.0,-8.0,-1.7,4.85,14.752975778990029,0.4701524714855723
54539,1993,1,10,10,4,0.0,1.8,-5.8,55,31,7.3,-8.8,-1.9,8.5,14.843720326606162,0.7657257596486826
54539,1993,1,11,11,4,0.0,1.3,-6.6,76,55,3.7,-11.2,-0.2,6.59,14.938787393613797,0.5440973198741993
54539,1993,1,12,12,4,0.0,0.8,-5.9,83,63,0.4,-9.9,-0.3,5.0,15.038153703494276,0.417793004565209
54539,1993,1,13,13,4,0.1,3.3,-4.0,65,42,0.0,-6.0,-2.5,3.84,15.141794512437663,0.8227850115395683
54539,1993,1,14,14,4,0.0,1.8,-7.2,50,21,8.2,-11.4,-2.1,9.85,15.249683576241885,0.7992603219994097
54539,1993,1,15,15,4,0.0,2.3,-9.4,38,18,7.9,-12.4,-4.9,9.81,15.361793117747894,0.926511548753871
